epoch,pr0,rc0,pr1,rc1,f1,pr0_graph,rc0_graph,pr1_graph,rc1_graph,f1_graph,success_rate,total_loss,loss_n,reg_loss
141,0.96664,0.82368,0.29113,0.71816,0.41431,0.27667,0.45769,0.91029,0.82138,0.86355,56.47059,0.02688,0.02126,0.00561
142,0.96669,0.82396,0.29153,0.71843,0.41476,0.27697,0.45786,0.91033,0.82159,0.86369,56.27451,0.02677,0.02120,0.00558
143,0.96673,0.82418,0.29189,0.71877,0.41517,0.27738,0.45802,0.91039,0.82189,0.86388,57.05882,0.02671,0.02116,0.00555
144,0.96677,0.82444,0.29227,0.71900,0.41559,0.27766,0.45812,0.91042,0.82210,0.86401,55.88235,0.02656,0.02105,0.00552
145,0.96681,0.82467,0.29262,0.71930,0.41600,0.27792,0.45814,0.91045,0.82231,0.86414,55.88235,0.02656,0.02108,0.00548
146,0.96686,0.82489,0.29296,0.71959,0.41639,0.27817,0.45817,0.91047,0.82253,0.86427,56.66667,0.02653,0.02108,0.00545
147,0.96690,0.82513,0.29333,0.71990,0.41682,0.27849,0.45820,0.91050,0.82280,0.86444,56.66667,0.02650,0.02107,0.00542
148,0.96694,0.82535,0.29368,0.72020,0.41722,0.27876,0.45816,0.91052,0.82305,0.86458,55.09804,0.02642,0.02103,0.00539
149,0.96698,0.82559,0.29404,0.72046,0.41763,0.27913,0.45844,0.91059,0.82327,0.86473,56.66667,0.02640,0.02104,0.00536
150,0.96703,0.82583,0.29441,0.72075,0.41805,0.27945,0.45859,0.91063,0.82349,0.86487,56.66667,0.02633,0.02099,0.00533
151,0.96706,0.82607,0.29477,0.72100,0.41845,0.27976,0.45868,0.91067,0.82373,0.86502,56.47059,0.02630,0.02100,0.00530
152,0.96710,0.82630,0.29511,0.72125,0.41884,0.28006,0.45889,0.91072,0.82391,0.86514,55.88235,0.02627,0.02099,0.00528
153,0.96715,0.82649,0.29543,0.72157,0.41922,0.28035,0.45897,0.91075,0.82413,0.86528,55.68627,0.02615,0.02090,0.00525
154,0.96718,0.82672,0.29578,0.72182,0.41962,0.28062,0.45924,0.91080,0.82427,0.86538,55.88235,0.02612,0.02090,0.00522
155,0.96723,0.82692,0.29610,0.72213,0.41999,0.28095,0.45932,0.91084,0.82452,0.86553,56.86275,0.02606,0.02086,0.00520
156,0.96727,0.82712,0.29643,0.72242,0.42036,0.28123,0.45946,0.91088,0.82471,0.86566,56.86275,0.02615,0.02098,0.00517
157,0.96730,0.82734,0.29676,0.72265,0.42074,0.28155,0.45960,0.91092,0.82494,0.86580,55.68627,0.02612,0.02098,0.00514
158,0.96734,0.82754,0.29708,0.72290,0.42110,0.28167,0.45949,0.91092,0.82508,0.86588,56.07843,0.02601,0.02089,0.00512
159,0.96738,0.82775,0.29740,0.72315,0.42146,0.28195,0.45963,0.91096,0.82527,0.86600,55.49020,0.02595,0.02086,0.00509
160,0.96742,0.82794,0.29771,0.72343,0.42182,0.28223,0.45970,0.91099,0.82548,0.86613,55.68627,0.02597,0.02091,0.00507
161,0.96745,0.82815,0.29804,0.72370,0.42220,0.28258,0.45989,0.91104,0.82571,0.86628,56.66667,0.02588,0.02085,0.00504
162,0.96748,0.82837,0.29836,0.72387,0.42255,0.28292,0.46020,0.91111,0.82589,0.86641,56.07843,0.02587,0.02085,0.00502
163,0.96752,0.82855,0.29866,0.72415,0.42290,0.28325,0.46044,0.91116,0.82607,0.86653,57.64706,0.02574,0.02075,0.00499
164,0.96755,0.82878,0.29899,0.72432,0.42326,0.28350,0.46063,0.91120,0.82622,0.86664,56.07843,0.02578,0.02082,0.00497
165,0.96759,0.82897,0.29931,0.72460,0.42362,0.28380,0.46081,0.91125,0.82641,0.86676,55.68627,0.02560,0.02066,0.00494
166,0.96762,0.82917,0.29961,0.72484,0.42397,0.28419,0.46110,0.91132,0.82664,0.86691,55.68627,0.02566,0.02073,0.00492
167,0.96766,0.82931,0.29986,0.72511,0.42426,0.28438,0.46099,0.91132,0.82683,0.86702,56.07843,0.02560,0.02069,0.00490
168,0.96769,0.82950,0.30015,0.72531,0.42459,0.28471,0.46122,0.91137,0.82703,0.86716,55.68627,0.02560,0.02072,0.00488
169,0.96772,0.82968,0.30044,0.72554,0.42492,0.28495,0.46129,0.91140,0.82721,0.86727,55.49020,0.02556,0.02070,0.00486
170,0.96776,0.82984,0.30072,0.72580,0.42525,0.28528,0.46140,0.91144,0.82745,0.86742,54.70588,0.02542,0.02058,0.00484
171,0.96779,0.83004,0.30103,0.72601,0.42559,0.28547,0.46141,0.91146,0.82760,0.86751,55.29412,0.02543,0.02061,0.00482
172,0.96783,0.83019,0.30129,0.72627,0.42589,0.28568,0.46130,0.91146,0.82782,0.86763,54.70588,0.02528,0.02048,0.00480
173,0.96786,0.83038,0.30158,0.72649,0.42622,0.28594,0.46136,0.91149,0.82801,0.86775,56.27451,0.02539,0.02061,0.00478
174,0.96789,0.83054,0.30186,0.72675,0.42654,0.28616,0.46142,0.91151,0.82818,0.86785,55.49020,0.02532,0.02056,0.00476
175,0.96792,0.83072,0.30214,0.72696,0.42686,0.28646,0.46148,0.91154,0.82841,0.86799,56.07843,0.02525,0.02051,0.00474
176,0.96796,0.83088,0.30241,0.72722,0.42718,0.28673,0.46154,0.91157,0.82861,0.86812,56.07843,0.02532,0.02060,0.00472
177,0.96799,0.83106,0.30271,0.72745,0.42751,0.28692,0.46160,0.91160,0.82875,0.86820,57.05882,0.02519,0.02049,0.00470
178,0.96803,0.83122,0.30298,0.72771,0.42783,0.28720,0.46171,0.91163,0.82895,0.86832,56.07843,0.02522,0.02054,0.00468
179,0.96806,0.83140,0.30326,0.72791,0.42815,0.28744,0.46171,0.91165,0.82915,0.86844,56.07843,0.02515,0.02050,0.00466
180,0.96809,0.83156,0.30353,0.72813,0.42845,0.28767,0.46166,0.91166,0.82935,0.86856,55.49020,0.02505,0.02041,0.00464
181,0.96812,0.83175,0.30382,0.72832,0.42877,0.28791,0.46177,0.91170,0.82952,0.86867,56.86275,0.02511,0.02049,0.00462
182,0.96815,0.83191,0.30408,0.72852,0.42907,0.28819,0.46192,0.91174,0.82969,0.86878,56.66667,0.02513,0.02053,0.00461
183,0.96818,0.83207,0.30434,0.72874,0.42936,0.28842,0.46187,0.91175,0.82990,0.86890,55.49020,0.02500,0.02041,0.00459
